psychology,therapist, yes
Enginneering Management, Lego,yes
CS,soccer player,no
supply chain,statistical analyse for espots,no
CS,tennis player,no
Civil Enginneering, baseball player,no
CS,directing,no
business, travel&volunteer,yes
Civil Enginneering,scout for NSF,no
Enginneering Management,CEO of Apple,yes
psychology,actor or dancer,no
psychology,photographer for national geography,no
psychology, space and planets,no
CS,Software engineer,yes
Accounting, build computers or study ocean life,no
Industrial design,smart home and traveling,yes
Elementary Education, president of university,yes
Industrial design, startup for highend cars,yes
Mechanical Enginneering,spaceX or JPL,yes
Conservation Biology, traveling and volunteer,yes
business Management,actor and living in a mansion,yes
Geology, paleontologist or astronaut, yes
anthropology, bookstore, yes
CS,traveling and national park,no
Chemical Enginneering,guitar player in metal band,no 
secondary education in math,help people,yes
Earth and environmental study, colleague professor, yes
Industrial Enginneering, football or basetbatball,no
psychology,teaching and heling children,yes
CS,Instagram in NY or makeup artist in California, yes
Civil Enginneering, rating food of each contry, no
psychology,research on kid with schizophrenia and design wardrobe, yes
CS,video game and twitch,yes
business law, traveling unknown part of the world,yes
CS, traveling,yes
Finance, marine Biologist, no
English, game designer, no
Civil Enginneering, vertical city project and country club, yes
CS, CEO of facebook and google,yes
CS, composer for movie & video games,yes
CS, video game tester or iceam cream taster, yes
sociology, traveling,yes
business,traveling,yes
astrophysics, rafting or sky diving guide,no
Construction management Enginneering, construction company,yes
CS, code at home,yes
CS, big company and good car,yes
CS,travel and volunteer,no
CS, media company,yes
Mechanical Enginneering, billion dollor,yes
Sociology, police officer and traveling,no
Civil Engineering, engineer with own company,yes
Communications, social media company and musician,yes
CS,white hacker,yes
CS, Tech rep for NASA,yes
Civil Enginneering, Volcanologist and ohotographer for NatGeo,no
Supply Chain, firefighter,no
Civil Engineering, water resource and hydrology and NBA,yes
psychology, professional violinist and travel, no
Elementary Education, teacher, yes
Civil Engineering, travel and volunteer, yes
CS,artificial intelligence and social work,yes
CS,startup,yes
CS, drawing and painting or game and being married would be nice,yes
CS, bodybuilder,no
CS, farmer, no
CS, tech company and 9 dogs, yes
CS,video game design, yes
CIS, tech company and sleep and gamer,yes
Digital marketing, social media marketer and makeup for movie & cool dog, yes
Applied CS, Boeing or amazon or Valve, yes
Marketing, advertising for disney or makeup brand and one husband and two kids and traveling and photography, yes
CS, software engineer and traveling,yes
Early childhood education, teaching kindergarten,yes 
CS,software engineer and actress or director or spots analyst, yes
CS,software engineer and diverse jobs,yes
CS, help people,yes
CS,computer related, yes
Geology, travel and climbing, yes
CS, high school math and computer science teacher and gardening, yes
Material science,lecurer at univ and work 25-40 hour week,yes
CSE, 3d modelling and video editing and drawing and coding, yes
physhology,singing and dancing to make positive changes,no
Civil Enginneering,traveling and sailing,yes
CS, learn all coding language software engineer at microsoft or apple and travel ,yes
CS, intel or microsoft or NBA team owner and keep family happy, yes
Supply chain, piolet,no
CS, software engineer in cyber security or game design or astronout,yes
CS, travel and CEO,yes
Global study and Japanese,business diplomacy or translation and sing and dance the world, yes
CS, software engineer on AI or major producer work with artist,yes
CS, FBI agent,no
Supply Chain, oil company and material to refine the oil,yes
CS,professor of Univ. Hawaii, yes
CS, software engineer and game streamer,yes
CS, software company and waster money on dumb things,yes
Global Logistics Management, sleep and eat and get paid,yes
EE and ME,Make money, yes
Accounting, live on a yacht and hit golf balls into the ocean, yes
CS,cyber-security and pro bono defense lawyer and an electric auto driver in India,yes
CS,graphic designer,yes
physhology,child physhologist , yes
Computational Mathematical Science, invent and charity and politician,no
CS, Nintendo and family,yes
Economics, investment banker,yes
History in secondary Education, Teching as professor or professional football player or healthy family, yes
psychology,daughter and forensic psychologist for FBI,yes
CS,game designer,yes
Economics, startup,yes
CS,google or amazon and have fun with the job,yes
CS, AI and revolutionary technology,yes
Finance and marketing, traveling national parks and public speaking, yes
business law, compliance law and philosophy,yes






